whois.tcinet.ru;"212.193.111.1"
whois.amnic.net;"195.43.74.43"
whois.cnnic.cn;"218.241.97.14"
whois.sgnic.sg;"203.119.78.157"
whois.nic.uk;"213.248.242.79"
whois.denic.de;"81.91.170.78"
whois.twnic.net.tw;"60.199.218.242"
tvwhois.verisign-grs.com;"81.19.195.30"
whois.nic.it;"192.12.192.242"
whois.nic.hu;"5.28.3.68"
whois.hkirc.hk;"203.119.87.74"
whois.iis.se;"45.155.97.33"
whois.dns.be;"54.77.47.69"
whois.nic.md;"185.108.181.218"
whois.nic.online;"119.252.181.54"
whois.publicinterestregistry.org;"44.233.186.238"
whois.eu;"185.36.6.9"
whois.dns.lu;"158.64.1.113"
whois.register.si;"194.249.4.43"
whois.sk-nic.sk;"109.71.66.136"
whois.aeda.net.ae;"79.98.122.8"
whois.nic.tm;"193.223.78.217"
whois.registry.in;"103.132.247.21"
whois.nic.info;"52.37.99.5"
whois.kg;"195.38.160.60"
whois.dns.pl;"193.59.201.49"
whois.nic.fr;"192.134.5.15"
whois.nic.asia;"199.15.80.133"
whois.verisign-grs.com;"192.30.45.30"
whois.domain-registry.nl;"94.198.154.138"
whois.nic.kz;"91.228.39.16"
whois.nic.cz;"217.31.205.42"
whois.nic.at;"131.130.199.90"
whois.nic.investments;"52.37.99.5"
whois.nic.biz;"54.70.166.86"
